CreateDate,Tweet,User
Fri Mar 16 21:32:01 +0000 2018,@MIDAGEDRUNNER ? oh no! Glad you’re ok! Hope the run made you feel better! Nothing beats a good run,HelsMyatt
Fri Mar 16 21:30:45 +0000 2018,@intrinsicinspo1 Ooh that sounds nice! Just been to yoga class myself now Home with feet up &amp; a glass of red! Enjoy ?,HelsMyatt
Fri Mar 16 21:29:59 +0000 2018,@karenvernon8 Have a great weekend ?,HelsMyatt
Fri Mar 16 21:29:41 +0000 2018,@AVTurnerAuthor Love it ? may have to dig our #wii out! Looks lots of fun!,HelsMyatt
Fri Mar 16 21:28:36 +0000 2018,Went to a #vinyasayoga class tonight rather than doing some at home.   Quite enjoyed it &amp; managed to zen out despit… https://t.co/vATBGgEN5c,HelsMyatt
Fri Mar 16 19:47:15 +0000 2018,@Leekemp29Kemp He looks it! so cute ?,HelsMyatt
Fri Mar 16 15:49:33 +0000 2018,@McleishLee @ivyedinburgh Have fun ladies ??,HelsMyatt
Fri Mar 16 15:48:43 +0000 2018,@Leekemp29Kemp Awwww he’s so gorgeous ?,HelsMyatt
Fri Mar 16 14:09:50 +0000 2018,@RunKat821 Wow amazing ?,HelsMyatt
Fri Mar 16 07:58:40 +0000 2018,@AVTurnerAuthor Take care &amp; have a great run tomor ?,HelsMyatt
Thu Mar 15 19:49:03 +0000 2018,@intrinsicinspo1 Fantastic ?,HelsMyatt
Thu Mar 15 19:48:09 +0000 2018,@carolinesandall A fry up and sleep should do it mate plus gallons of water,HelsMyatt
Thu Mar 15 19:15:10 +0000 2018,@McleishLee The gin was just what I needed after that lot Lee ?,HelsMyatt
Thu Mar 15 19:14:23 +0000 2018,"@AVTurnerAuthor No it’s so cold ?. Did so much running training for the half that got cancelled,  I feel like I fan… https://t.co/pj1kPzAmHb",HelsMyatt
Thu Mar 15 12:01:03 +0000 2018,@AVTurnerAuthor I’ve lost mojo Av ? hopefully it will return soon,HelsMyatt
Wed Mar 14 20:55:10 +0000 2018,@RunKat821 Great job Kat ?,HelsMyatt
Wed Mar 14 20:44:46 +0000 2018,@SarahDevall It went down a treat ??,HelsMyatt
Wed Mar 14 20:16:00 +0000 2018,@intrinsicinspo1 We deserve it hey Andrea ? cheers ?,HelsMyatt
Wed Mar 14 20:15:34 +0000 2018,@vrw1975 That’s what I told myself ? ?,HelsMyatt
Wed Mar 14 20:02:02 +0000 2018,@helz1980 Lovely ?,HelsMyatt
Wed Mar 14 20:01:29 +0000 2018,"I’ve been a very good girl tonight!       5k on treadmill, rowing machine &amp; exercise bike at the #gym followed by a… https://t.co/PVJhkWjztu",HelsMyatt
Wed Mar 14 14:22:49 +0000 2018,RT @endostats: What #endometriosis feels like from age 12. Awareness in children and teens is vital for early diagnosis and treatment. http…,HelsMyatt
Wed Mar 14 13:25:06 +0000 2018,Would love a little nap ?,HelsMyatt
Wed Mar 14 12:15:18 +0000 2018,@runnergirl1612 Thanks Renee,HelsMyatt
Wed Mar 14 12:14:51 +0000 2018,RT @chrishughes_22: Get well soon to all those people who have suddenly pulled a sicky this morning ??? #CheltenhamFestival2018,HelsMyatt
Wed Mar 14 12:12:41 +0000 2018,@McleishLee ? Great run though ?,HelsMyatt
Wed Mar 14 12:11:58 +0000 2018,@AVTurnerAuthor Great running Av ?,HelsMyatt
Wed Mar 14 12:10:28 +0000 2018,@runnergirl1612 Have a super day Renee,HelsMyatt
Wed Mar 14 06:50:46 +0000 2018,@jamielawrence75 Cheers Jamie ?,HelsMyatt
Sun Mar 11 18:28:47 +0000 2018,Fun Mother’s Day. #spinclass with my hubby &amp; daughter loved it. #SundayFunday https://t.co/vAcUe64qT4,HelsMyatt
Sat Mar 10 11:12:52 +0000 2018,We are looking to book for #Drakelow what’s different between 1 and 2 Days? Is it same  locations or different?… https://t.co/epoxAC8OsI,HelsMyatt
Fri Mar 09 22:32:44 +0000 2018,@realkarlbeattie I would be outta there https://t.co/xFVOUP1aEV,HelsMyatt
Fri Mar 09 13:21:58 +0000 2018,"@carolinesandall @MelissaKahn7 Ha ha, I actually think Those would be my guilty pleasure ?",HelsMyatt
Fri Mar 09 13:20:40 +0000 2018,@MIDAGEDRUNNER Another Great run Stephen ?,HelsMyatt
Fri Mar 09 13:18:46 +0000 2018,@carolinesandall @MelissaKahn7 Great playlist C ?,HelsMyatt
Fri Mar 09 11:38:28 +0000 2018,@KatiePrice Left,HelsMyatt
Fri Mar 09 10:52:42 +0000 2018,First one outdoors since feb! 5k for #heartdisease #racinghearts5k #RH2k18 https://t.co/dQ2khbXJg9,HelsMyatt
Fri Mar 09 08:42:36 +0000 2018,Yayyyyy it’s Friday! Make today amazing folks #FridayVibes https://t.co/McvhcPQakB,HelsMyatt
Thu Mar 08 21:30:41 +0000 2018,@RunKat821 Quite rightly so xx,HelsMyatt
Thu Mar 08 06:33:53 +0000 2018,@RunKat821 Aw so Happy for you &amp; your son K. amazing news. Congratulations ??,HelsMyatt
Wed Mar 07 14:46:33 +0000 2018,@AVTurnerAuthor Nice work Av ?,HelsMyatt
Wed Mar 07 14:45:25 +0000 2018,@carolinesandall Fab news Caroline ?,HelsMyatt
Wed Mar 07 14:37:35 +0000 2018,@MIDAGEDRUNNER Thank you Stephen ?,HelsMyatt
Wed Mar 07 12:37:01 +0000 2018,@RunKat821 Thank you Kat. Hope you’re having a great day too ?,HelsMyatt
Wed Mar 07 10:29:27 +0000 2018,@RealAndrewMeyer That looks amazing ?,HelsMyatt
Wed Mar 07 09:15:27 +0000 2018,@intrinsicinspo1 Thank you Andrea ?,HelsMyatt
Wed Mar 07 08:45:53 +0000 2018,Good morning all. Have a fabulous Wednesday #HumpDay https://t.co/QFJ7qhr0H8,HelsMyatt
Tue Mar 06 10:07:56 +0000 2018,@Sally_Bridge Good luck Sally. Hope it’s good news ?,HelsMyatt
Mon Mar 05 15:22:18 +0000 2018,@TheCoffeeRunGB Great running ?,HelsMyatt
Fri Mar 23 17:54:58 +0000 2018,Awesome job the organisers at #runforall have done in re arranging the #lincon10k great work as ever team you are awesome ?????,andycook5
Fri Mar 23 17:51:52 +0000 2018,New event date for the 2018 City of Lincoln 10K ... https://t.co/MnmyZJduak,andycook5
